standardised_income_difficulties_cant_afford_night_out__synthetic_estimates, median_equivalised_household_income_synthetic_estimates, standardised_income_difficulties_access_money_synthetic_estimates, standardised_gini_coefficient_synthetic_estimates, standardised_leaving_low_income_from_benefit__synthetic_estimates, income_difficulties_cant_afford_night_out__synthetic_estimates, gini_coefficient_synthetic_estimates, median_disposable_household_income_synthetic_estimates, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, sa2_main11, standardised_median_disposable_household_income_synthetic_estimates, income_difficulties_access_money_synthetic_estimates, standardised_median_equivalised_household_income_synthetic_estimates, sa2_name11, leaving_low_income_from_benefit__synthetic_estimates
0.527362592,1092.6,0.550012766,1.173649039,1.173355961,9.6,0.33,1715.4,3.5,0.363311579,801051052,1.60201348,7.2,1.728548671,"Campbell",25.82
null,null,null,null,null,null,null,null,null,null,801051049,null,null,null,"Acton",null
0.922884535,907.4,0.931966076,1.03138855,1.101100501,16.8,0.29,1557.0,5.0,0.519016541,801041046,1.454083589,12.2,1.435552868,"Ngunnawal",24.23
0.681176681,1016.4,0.550012766,1.173649039,1.074288726,12.4,0.33,1866.8,3.6,0.37369191,801041047,1.743406065,7.2,1.607996402,"Nicholls",23.64
null,null,null,null,null,null,null,null,null,null,801041045,null,null,null,"Mitchell",null
null,null,null,null,null,null,null,null,null,null,801041042,null,null,null,"Gungahlin - West",null
0.736110284,1083.6,0.672237825,1.03138855,0.974312618,13.4,0.29,2010.4,2.9,0.301029594,801041044,1.877514224,8.8,1.714310214,"Harrison",21.44
null,null,null,null,null,null,null,null,null,null,801041041,null,null,null,"Gungahlin - East",null
0.703150122,1006.0,0.794462885,1.138083917,1.251064663,12.8,0.32,1695.8,5.3,0.550157533,801041040,1.583709024,10.4,1.591543074,"Gungahlin",27.53
0.747097005,1061.8,0.656959693,1.102518795,1.043841457,13.6,0.31,1911.6,5.3,0.550157533,801041039,1.785244822,8.6,1.679821507,"Franklin",22.97
0.659203239,1175.4,0.641681561,1.066953672,1.028390604,12.0,0.3,1901.2,2.2,0.228367278,801041037,1.775532254,8.4,1.859542474,"Crace",22.63
0.714136843,1090.6,0.687515958,0.995823427,1.02021074,13.0,0.28,1803.2,3.2,0.332170586,801041036,1.684009973,9.0,1.725384569,"Casey",22.45
0.824004049,1061.0,0.733350355,0.924693183,0.802535487,15.0,0.26,1776.6,2.4,0.24912794,801041035,1.659168211,9.6,1.678555866,"Bonner",17.66
0.911897815,553.0,1.512535107,1.173649039,1.2428848,16.6,0.33,614.6,16.7,1.733515247,801031030,0.573975449,19.8,0.874874075,"ACT - East",27.35
1.0107783,1056.4,0.779184752,0.88912806,0.87433651,18.4,0.25,1584.6,3.0,0.311409925,801031033,1.479859252,10.2,1.671278433,"Majura",19.24
null,null,null,null,null,null,null,null,null,null,801031032,null,null,null,"Kowen",null
0.867950932,802.8,1.054191135,1.138083917,1.111552548,15.8,0.32,1557.0,5.7,0.591678857,801011025,1.454083589,13.8,1.270070358,"Spence",24.46
null,null,null,null,null,null,null,null,null,null,801031031,null,null,null,"Hume",null
0.791043887,741.4,0.886131679,1.066953672,1.072016542,14.4,0.3,1196.0,5.5,0.570918195,801011023,1.11694539,11.6,1.17293244,"Page",23.59
0.725123563,869.8,0.840297282,1.138083917,1.065199989,13.2,0.32,1557.0,4.4,0.456734556,801011022,1.454083589,11.0,1.376067759,"Melba",23.44
null,null,null,null,null,null,null,null,null,null,801021029,null,null,null,"Namadgi",null
null,null,null,null,null,null,null,null,null,null,801021028,null,null,null,"Molonglo",null
0.944857977,933.2,0.993078606,1.209214162,0.810260913,17.2,0.34,1557.0,3.3,0.342550917,801021027,1.454083589,13.0,1.476369778,"ACT - South West",17.83
0.560322754,1027.6,0.351397045,1.138083917,1.012030877,10.2,0.32,1842.6,2.3,0.238747609,801011026,1.720805665,4.6,1.625715371,"Weetangera",22.27
0.758083725,871.6,0.901409811,1.209214162,1.224707325,13.8,0.34,1631.4,5.8,0.602059188,801011021,1.523565811,11.8,1.378915451,"McKellar",26.95
0.802030608,947.8,0.76390662,0.995823427,1.043841457,14.6,0.28,1599.0,3.6,0.37369191,801011019,1.493307424,10.0,1.499467719,"Macgregor (ACT)",22.97
null,null,null,null,null,null,null,null,null,null,801011018,null,null,null,"Lawson",null
null,null,null,null,null,null,null,null,null,null,801061068,null,null,null,"Parkes (ACT)",null
0.922884535,801.6,1.0847474,1.102518795,1.191078998,16.8,0.31,1318.2,7.1,0.737003488,801011024,1.231068071,14.2,1.268171897,"Scullin",26.21
0.889924373,812.2,0.931966076,1.03138855,1.044295894,16.2,0.29,1478.6,4.8,0.498255879,801011017,1.380865764,12.2,1.284941635,"Latham",22.98
null,null,null,null,null,null,null,null,null,null,801011012,null,null,null,"Gooromon",null
0.736110284,910.8,0.733350355,1.066953672,1.104281559,13.4,0.3,1597.2,4.6,0.477495218,801011011,1.491626402,9.6,1.440931841,"Giralang",24.3
0.791043887,907.4,0.672237825,1.03138855,0.942502038,14.4,0.29,1650.8,3.7,0.38407224,801011010,1.541683487,8.8,1.435552868,"Fraser",20.74
0.791043887,913.0,0.687515958,1.066953672,1.104281559,14.4,0.3,1677.4,4.4,0.456734556,801011009,1.566525249,9.0,1.444412352,"Flynn (ACT)",24.3
0.593282916,1015.0,0.641681561,1.244779284,1.216981899,10.8,0.35,1557.0,5.3,0.550157533,801011013,1.454083589,8.4,1.605781531,"Hawker",26.78
0.824004049,888.6,0.855575414,1.066953672,1.062473368,15.0,0.3,1599.0,4.5,0.467114887,801011007,1.493307424,11.2,1.405810314,"Evatt",23.38
0.944857977,776.0,1.298641254,1.138083917,1.135637702,17.2,0.32,1428.8,6.8,0.705862496,801011008,1.334357503,17.0,1.227671397,"Florey",24.99
0.900911094,907.4,0.840297282,0.995823427,1.013848624,16.4,0.28,1640.8,3.9,0.404832902,801011006,1.532344478,11.0,1.435552868,"Dunlop",22.31
0.626243077,1007.2,0.641681561,1.173649039,1.111552548,11.4,0.33,1498.2,5.5,0.570918195,801011005,1.39917022,8.4,1.593441535,"Cook",24.46
1.087685345,735.4,1.588925769,1.066953672,1.177445892,19.8,0.3,1213.6,8.5,0.88232812,801011004,1.133382045,20.8,1.163440136,"Charnwood",25.91
0.395521944,1087.6,0.473622104,1.209214162,1.219254083,7.2,0.34,1681.0,5.2,0.539777203,801011003,1.569887292,6.2,1.720638417,"Bruce",26.83
0.648216519,902.0,1.054191135,1.209214162,1.298780533,11.8,0.34,1212.4,11.1,1.152216721,801011002,1.132261364,13.8,1.427009794,"Belconnen",28.58
null,null,null,null,null,null,null,null,null,null,702041063,null,null,null,"East Arnhem",null
null,null,null,null,null,null,null,null,null,null,702041062,null,null,null,"Anindilyakwa",null
null,null,null,null,null,null,null,null,null,null,702031061,null,null,null,"West Arnhem",null
null,null,null,null,null,null,null,null,null,null,702031060,null,null,null,"Tiwi Islands",null
null,null,null,null,null,null,null,null,null,null,702031059,null,null,null,"Thamarrurr",null
null,null,null,null,null,null,null,null,null,null,702031058,null,null,null,"Daly",null
1.17557911,646.8,1.130581797,1.244779284,1.275604253,21.4,0.35,1077.4,15.4,1.598570946,702031057,1.006184752,14.8,1.023270438,"Alligator",28.07
1.417286965,689.6,1.78754149,0.995823427,1.255154595,25.8,0.28,1246.4,11.0,1.14183639,702021056,1.164013992,23.4,1.090982211,"Tennant Creek",27.62
null,null,null,null,null,null,null,null,null,null,702021055,null,null,null,"Barkly",null
null,null,null,null,null,null,null,null,null,null,702011053,null,null,null,"Tanami",null
0.900911094,811.8,1.100025533,1.138083917,1.148361934,16.4,0.32,1333.4,5.8,0.602059188,801011020,1.245263364,14.4,1.284308815,"Macquarie",25.27
null,null,null,null,null,null,null,null,null,null,702011052,null,null,null,"Sandover - Plenty",null
0.758083725,855.8,0.779184752,1.066953672,1.191987872,13.8,0.3,1597.2,5.5,0.570918195,801011016,1.491626402,10.2,1.353919048,"Kaleen",26.23
1.142618948,701.0,1.206972459,1.03138855,1.260607837,20.8,0.29,1206.0,8.7,0.903088781,702011051,1.126284398,15.8,1.109017589,"Ross",27.74
null,null,null,null,null,null,null,null,null,null,702011050,null,null,null,"Petermann - Simpson",null
0.791043887,951.4,0.901409811,1.138083917,1.134274391,14.4,0.32,1509.8,5.0,0.519016541,702011049,1.41000347,11.8,1.505163102,"Mount Johns",24.96
0.878937653,847.8,1.222250592,1.102518795,1.160177292,16.0,0.31,1535.4,7.7,0.799285473,702011048,1.433911331,16.0,1.341262642,"Larapinta",25.53
